year,city,globalavg_temp,localavg_temp
1750,Virginia Beach,8.72,16.07
1751,Virginia Beach,7.98,16.57
1752,Virginia Beach,5.78,10.61
1753,Virginia Beach,8.39,15.66
1754,Virginia Beach,8.47,16.09
1755,Virginia Beach,8.36,13.41
1756,Virginia Beach,8.85,16.39
1757,Virginia Beach,9.02,15.19
1758,Virginia Beach,6.74,14.23
1759,Virginia Beach,7.99,15.18
1760,Virginia Beach,7.19,14.02
1761,Virginia Beach,8.77,16.17
1762,Virginia Beach,8.61,15.55
1763,Virginia Beach,7.50,13.62
1764,Virginia Beach,8.40,16.02
1765,Virginia Beach,8.25,15.39
1766,Virginia Beach,8.41,16.17
1767,Virginia Beach,8.22,14.99
1768,Virginia Beach,6.78,14.63
1769,Virginia Beach,7.69,15.30
1770,Virginia Beach,7.69,15.19
1771,Virginia Beach,7.85,16.29
1772,Virginia Beach,8.19,15.84
1773,Virginia Beach,8.22,16.12
1774,Virginia Beach,8.77,15.83
1775,Virginia Beach,9.18,16.41
1776,Virginia Beach,8.30,15.52
1777,Virginia Beach,8.26,15.03
1778,Virginia Beach,8.54,13.63
1779,Virginia Beach,8.98,8.76
1780,Virginia Beach,9.43,
1781,Virginia Beach,8.10,15.85
1782,Virginia Beach,7.90,15.31
1783,Virginia Beach,7.68,15.01
1784,Virginia Beach,7.86,14.79
1785,Virginia Beach,7.36,14.73
1786,Virginia Beach,8.26,15.25
1787,Virginia Beach,8.03,15.26
1788,Virginia Beach,8.45,15.91
1789,Virginia Beach,8.33,15.61
1790,Virginia Beach,7.98,15.54
1791,Virginia Beach,8.23,15.63
1792,Virginia Beach,8.09,15.05
1793,Virginia Beach,8.23,15.92
1794,Virginia Beach,8.53,15.95
1795,Virginia Beach,8.35,15.50
1796,Virginia Beach,8.27,15.25
1797,Virginia Beach,8.51,15.22
1798,Virginia Beach,8.67,16.06
1799,Virginia Beach,8.51,15.62
1800,Virginia Beach,8.48,15.65
1801,Virginia Beach,8.59,16.04
1802,Virginia Beach,8.58,16.32
1803,Virginia Beach,8.50,16.18
1804,Virginia Beach,8.84,15.95
1805,Virginia Beach,8.56,16.40
1806,Virginia Beach,8.43,15.61
1807,Virginia Beach,8.28,15.40
1808,Virginia Beach,7.63,15.57
1809,Virginia Beach,7.08,14.82
1810,Virginia Beach,6.92,15.16
1811,Virginia Beach,6.86,15.28
1812,Virginia Beach,7.05,14.06
1813,Virginia Beach,7.74,15.07
1814,Virginia Beach,7.59,14.81
1815,Virginia Beach,7.24,14.51
1816,Virginia Beach,6.94,14.16
1817,Virginia Beach,6.98,14.07
1818,Virginia Beach,7.83,14.50
1819,Virginia Beach,7.37,15.09
1820,Virginia Beach,7.62,15.12
1821,Virginia Beach,8.09,14.66
1822,Virginia Beach,8.19,15.99
1823,Virginia Beach,7.72,15.11
1824,Virginia Beach,8.55,15.81
1825,Virginia Beach,8.39,16.25
1826,Virginia Beach,8.36,16.10
1827,Virginia Beach,8.81,16.02
1828,Virginia Beach,8.17,17.38
1829,Virginia Beach,7.94,15.40
1830,Virginia Beach,8.52,16.85
1831,Virginia Beach,7.64,15.13
1832,Virginia Beach,7.45,15.51
1833,Virginia Beach,8.01,15.62
1834,Virginia Beach,8.15,15.97
1835,Virginia Beach,7.39,15.36
1836,Virginia Beach,7.70,14.42
1837,Virginia Beach,7.38,15.20
1838,Virginia Beach,7.51,15.50
1839,Virginia Beach,7.63,15.59
1840,Virginia Beach,7.80,15.74
1841,Virginia Beach,7.69,15.27
